"","Feature1","Feature2","Correlation"
"1","TCGA-06-0145-01A-06R-0219-01","TCGA-06-0145-01A-06R-0219-01",1
"61249","TCGA-06-0145-01A-06R-0219-01","TCGA-14-1402-01A-01R-0522-01",0.933696559739606
"102661","TCGA-06-0145-01A-06R-0219-01","TCGA-76-4927-01A-01R-1482-01",0.930146716376849
"350","TCGA-27-2526-01A-01R-0789-01","TCGA-27-2526-01A-01R-0789-01",1
"86306","TCGA-27-2526-01A-01R-0789-01","TCGA-12-3649-01A-01R-0916-01",0.953030018830225
"31670","TCGA-27-2526-01A-01R-0789-01","TCGA-14-2554-01A-01R-0789-01",0.95251986373882
"699","TCGA-14-1454-01A-01R-0522-01","TCGA-14-1454-01A-01R-0522-01",1
"38631","TCGA-14-1454-01A-01R-0522-01","TCGA-14-1825-01A-01R-0596-01",0.945861425577136
"17055","TCGA-14-1454-01A-01R-0522-01","TCGA-12-1099-01A-01R-0522-01",0.943126712018075
"1048","TCGA-02-0107-01A-01R-0202-01","TCGA-02-0107-01A-01R-0202-01",1
"47332","TCGA-02-0107-01A-01R-0202-01","TCGA-06-0141-01A-01R-0219-01",0.963312384492327
"42112","TCGA-02-0107-01A-01R-0202-01","TCGA-02-0089-01A-01R-0202-01",0.959548806674435
"1397","TCGA-32-2495-01A-01R-1230-01","TCGA-32-2495-01A-01R-1230-01",1
"89441","TCGA-32-2495-01A-01R-1230-01","TCGA-19-2631-01A-01R-1230-01",0.964590795187813
"22625","TCGA-32-2495-01A-01R-1230-01","TCGA-19-2620-01A-01R-0916-01",0.963276555939518
"1746","TCGA-16-1045-01B-01R-0522-01","TCGA-16-1045-01B-01R-0522-01",1
"47334","TCGA-16-1045-01B-01R-0522-01","TCGA-06-0141-01A-01R-0219-01",0.961792733605788
"91182","TCGA-16-1045-01B-01R-0522-01","TCGA-12-1096-01A-01R-0522-01",0.961185824141023
"2095","TCGA-02-0083-01A-01R-0202-01","TCGA-02-0083-01A-01R-0202-01",1
"42115","TCGA-02-0083-01A-01R-0202-01","TCGA-02-0089-01A-01R-0202-01",0.954130642336275
"112411","TCGA-02-0083-01A-01R-0202-01","TCGA-76-4928-01B-01R-1482-01",0.951580955375355
"2444","TCGA-19-2619-01A-01R-0916-01","TCGA-19-2619-01A-01R-0916-01",1
"55340","TCGA-19-2619-01A-01R-0916-01","TCGA-06-2564-01A-01R-0789-01",0.958461487382902
"66476","TCGA-19-2619-01A-01R-0916-01","TCGA-19-4068-01A-01R-1230-01",0.95726097317104
"2793","TCGA-02-0102-01A-01R-0202-01","TCGA-02-0102-01A-01R-0202-01",1
"16713","TCGA-02-0102-01A-01R-0202-01","TCGA-02-0071-01A-01R-0202-01",0.96105279572506
"12537","TCGA-02-0102-01A-01R-0202-01","TCGA-06-0125-01A-01R-0219-01",0.959288680392173
"3142","TCGA-14-1823-01A-01R-0596-01","TCGA-14-1823-01A-01R-0596-01",1
"31678","TCGA-14-1823-01A-01R-0596-01","TCGA-14-2554-01A-01R-0789-01",0.95083868074128
"52558","TCGA-14-1823-01A-01R-0596-01","TCGA-28-1752-01A-01R-0596-01",0.942465829174828
"3491","TCGA-14-1453-01A-01R-0522-01","TCGA-14-1453-01A-01R-0522-01",1
"71351","TCGA-14-1453-01A-01R-0522-01","TCGA-12-3652-01A-01R-0916-01",0.949248211030067
"81443","TCGA-14-1453-01A-01R-0522-01","TCGA-12-3650-01A-01R-0916-01",0.946683257339353
"3840","TCGA-02-2470-01A-01R-0789-01","TCGA-02-2470-01A-01R-0789-01",1
"42120","TCGA-02-2470-01A-01R-0789-01","TCGA-02-0089-01A-01R-0202-01",0.962628133732588
"105108","TCGA-02-2470-01A-01R-0789-01","TCGA-32-1980-01A-01R-1698-01",0.957676640193423
"4189","TCGA-41-2572-01A-01R-1230-01","TCGA-41-2572-01A-01R-1230-01",1
"19153","TCGA-41-2572-01A-01R-1230-01","TCGA-32-2638-01A-01R-0916-01",0.968861786150012
"32029","TCGA-41-2572-01A-01R-1230-01","TCGA-06-2563-01A-01R-0789-01",0.964408448875665
"4538","TCGA-06-0137-01B-02R-0219-01","TCGA-06-0137-01B-02R-0219-01",1
"60914","TCGA-06-0137-01B-02R-0219-01","TCGA-06-0169-01A-01R-0219-01",0.947481560947485
"106850","TCGA-06-0137-01B-02R-0219-01","TCGA-06-5418-01A-01R-1482-01",0.945946622727949
"4887","TCGA-12-0819-01A-01R-0389-01","TCGA-12-0819-01A-01R-0389-01",1
"86319","TCGA-12-0819-01A-01R-0389-01","TCGA-12-3649-01A-01R-0916-01",0.960726821828141
"68571","TCGA-12-0819-01A-01R-0389-01","TCGA-26-1799-01A-02R-0596-01",0.960471397727376
"5236","TCGA-02-0113-01A-01R-0202-01","TCGA-02-0113-01A-01R-0202-01",1
"63004","TCGA-02-0113-01A-01R-0202-01","TCGA-02-0115-01A-01R-0202-01",0.936052988082785
"2104","TCGA-02-0113-01A-01R-0202-01","TCGA-02-0083-01A-01R-0202-01",0.93540891083899
"5585","TCGA-32-4209-01A-01R-1230-01","TCGA-32-4209-01A-01R-1230-01",1
"88061","TCGA-32-4209-01A-01R-1230-01","TCGA-27-2527-01A-01R-0789-01",0.961337657844717
"56045","TCGA-32-4209-01A-01R-1230-01","TCGA-02-0086-01A-01R-0202-01",0.95893166258156
"5934","TCGA-02-0099-01A-01R-0202-01","TCGA-02-0099-01A-01R-0202-01",1
"79014","TCGA-02-0099-01A-01R-0202-01","TCGA-41-3915-01A-01R-1230-01",0.949180436930144
"42126","TCGA-02-0099-01A-01R-0202-01","TCGA-02-0089-01A-01R-0202-01",0.943842530797767
"6283","TCGA-28-1747-01C-01R-0789-01","TCGA-28-1747-01C-01R-0789-01",1
"91891","TCGA-28-1747-01C-01R-0789-01","TCGA-27-1837-01A-01R-0789-01",0.970705974088817
"55351","TCGA-28-1747-01C-01R-0789-01","TCGA-06-2564-01A-01R-0789-01",0.967504842495802
"6632","TCGA-14-1451-01A-01R-0522-01","TCGA-14-1451-01A-01R-0522-01",1
"51872","TCGA-14-1451-01A-01R-0522-01","TCGA-14-1401-01A-01R-0522-01",0.960140083787352
"37604","TCGA-14-1451-01A-01R-0522-01","TCGA-12-0828-01A-01R-0389-01",0.958566168436615
"6981","TCGA-06-0124-01A-01R-0219-01","TCGA-06-0124-01A-01R-0219-01",1
"101289","TCGA-06-0124-01A-01R-0219-01","TCGA-06-0190-01A-01R-0233-01",0.972877022488136
"28209","TCGA-06-0124-01A-01R-0219-01","TCGA-32-1986-01A-01R-0789-01",0.966502447311169
"7330","TCGA-06-0130-01A-01R-0219-01","TCGA-06-0130-01A-01R-0219-01",1
"11854","TCGA-06-0130-01A-01R-0219-01","TCGA-06-0147-01A-01R-0219-01",0.943870470492831
"41434","TCGA-06-0130-01A-01R-0219-01","TCGA-06-0139-01A-01R-0219-01",0.939749169478005
