"","Feature1","Feature2","Correlation"
"1","TCGA-06-0145-01A-04D-0218-05","TCGA-06-0145-01A-04D-0218-05",1
"33409","TCGA-06-0145-01A-04D-0218-05","TCGA-32-1982-01A-01D-0788-05",0.92041408142628
"61249","TCGA-06-0145-01A-04D-0218-05","TCGA-14-1402-01A-01D-0521-05",0.919955724970912
"350","TCGA-27-2526-01A-01D-0788-05","TCGA-27-2526-01A-01D-0788-05",1
"72386","TCGA-27-2526-01A-01D-0788-05","TCGA-12-1599-01A-01D-0595-05",0.932998801853818
"34454","TCGA-27-2526-01A-01D-0788-05","TCGA-06-0876-01A-01D-0392-05",0.932746547553836
"699","TCGA-14-1454-01A-01D-0521-05","TCGA-14-1454-01A-01D-0521-05",1
"40371","TCGA-14-1454-01A-01D-0521-05","TCGA-12-3644-01A-01D-0915-05",0.913748273239537
"17055","TCGA-14-1454-01A-01D-0521-05","TCGA-12-1099-01A-01D-0521-05",0.902706529363025
"1048","TCGA-02-0107-01A-01D-0199-05","TCGA-02-0107-01A-01D-0199-05",1
"73084","TCGA-02-0107-01A-01D-0199-05","TCGA-06-0881-01A-02D-0392-05",0.98229616841375
"88396","TCGA-02-0107-01A-01D-0199-05","TCGA-19-1385-01A-02D-0595-05",0.976284637082045
"1397","TCGA-32-2495-01A-01D-1228-05","TCGA-32-2495-01A-01D-1228-05",1
"61253","TCGA-32-2495-01A-01D-1228-05","TCGA-14-1402-01A-01D-0521-05",0.929706788955268
"75521","TCGA-32-2495-01A-01D-1228-05","TCGA-12-1597-01B-01D-0915-05",0.928662635563853
"1746","TCGA-16-1045-01B-01D-0521-05","TCGA-16-1045-01B-01D-0521-05",1
"85266","TCGA-16-1045-01B-01D-0521-05","TCGA-12-1095-01A-01D-0521-05",0.959861940809984
"42810","TCGA-16-1045-01B-01D-0521-05","TCGA-02-0057-01A-01D-0186-05",0.959094710829881
"2095","TCGA-02-0083-01A-01D-0199-05","TCGA-02-0083-01A-01D-0199-05",1
"34459","TCGA-02-0083-01A-01D-0199-05","TCGA-06-0876-01A-01D-0392-05",0.911263210717294
"33415","TCGA-02-0083-01A-01D-0199-05","TCGA-32-1982-01A-01D-0788-05",0.909709282767129
"2444","TCGA-19-2619-01A-01D-0915-05","TCGA-19-2619-01A-01D-0915-05",1
"42812","TCGA-19-2619-01A-01D-0915-05","TCGA-02-0057-01A-01D-0186-05",0.935220265732393
"19844","TCGA-19-2619-01A-01D-0915-05","TCGA-02-0085-01A-01D-0199-05",0.934326902666097
"2793","TCGA-02-0102-01A-01D-0199-05","TCGA-02-0102-01A-01D-0199-05",1
"64737","TCGA-02-0102-01A-01D-0199-05","TCGA-27-2518-01A-01D-0788-05",0.924512016756657
"79353","TCGA-02-0102-01A-01D-0199-05","TCGA-16-1056-01B-01D-0521-05",0.919002640920303
"3142","TCGA-14-1823-01A-01D-0595-05","TCGA-14-1823-01A-01D-0595-05",1
"61258","TCGA-14-1823-01A-01D-0595-05","TCGA-14-1402-01A-01D-0521-05",0.937327997014514
